id,province,over_60_1st_dose,total_1st_dose,total_2nd_dose,total_3rd_dose,date
1,Krabi,49646,373452,348632,91393,2022-03-05 23:15:00
2,Bangkok,1304946,9633649,8843614,4866624,2022-03-05 23:15:00
3,Kanchanaburi,79988,531823,498563,166139,2022-03-05 23:15:00
4,Kalasin,124551,562638,505935,102146,2022-03-05 23:15:00
5,Kamphaeng Phet,90694,422264,397721,125153,2022-03-05 23:15:00
6,Khon Kaen,239866,1200447,1092648,340351,2022-03-05 23:15:00
7,Chanthaburi,73737,450776,421493,108459,2022-03-05 23:15:00
8,Chachoengsao,94209,689996,584152,275257,2022-03-05 23:15:00
9,Chonburi,183375,1991527,1891538,837484,2022-03-05 23:15:00
10,Chainat,52600,199811,190750,67084,2022-03-05 23:15:00
11,Chaiyaphum,157027,661594,603819,137464,2022-03-05 23:15:00
12,Chumphon,69663,394705,367134,87386,2022-03-05 23:15:00
13,Chiang Rai,209303,913865,858858,305089,2022-03-05 23:15:00
14,Chiang Mai,298296,1605033,1552994,534788,2022-03-05 23:15:00
15,Trang,85766,490715,449979,122803,2022-03-05 23:15:00
16,Trat,31114,177175,165311,59266,2022-03-05 23:15:00
17,Tak,63519,474011,395671,107947,2022-03-05 23:15:00
18,Nakhon Nayok,33121,159094,154044,62959,2022-03-05 23:15:00
19,Nakhon Pathom,89464,676379,663038,287868,2022-03-05 23:15:00
20,Nakhon Phanom,82562,429807,391428,94403,2022-03-05 23:15:00
21,Nakhon Ratchasima,301920,1795857,1675570,601031,2022-03-05 23:15:00
22,Nakhon Si Thammarat,212921,1080997,978254,233635,2022-03-05 23:15:00
23,Nakhon Sawan,151302,645988,619669,232823,2022-03-05 23:15:00
24,Nonthaburi,142685,1134185,1081226,721433,2022-03-05 23:15:00
25,Narathiwat,53624,440845,355501,47251,2022-03-05 23:15:00
26,Nan,85839,326017,308462,140084,2022-03-05 23:15:00
27,Bueng Kan,43158,242281,211460,33238,2022-03-05 23:15:00
28,Buriram,205604,1015145,928185,300605,2022-03-05 23:15:00
29,Pathum Thani,141234,1322486,1245571,473161,2022-03-05 23:15:00
30,Prachuap Khiri Khan,66806,428952,400293,141436,2022-03-05 23:15:00
31,Prachinburi,55913,392734,367099,134632,2022-03-05 23:15:00
32,Pattani,48245,411476,328109,43233,2022-03-05 23:15:00
33,Phra Nakhon Si Ayutthaya,96806,664231,635881,356875,2022-03-05 23:15:00
34,Phayao,85921,317751,304057,100758,2022-03-05 23:15:00
35,Phang Nga,37397,221391,212513,75077,2022-03-05 23:15:00
36,Phatthalung,75090,329611,305208,77146,2022-03-05 23:15:00
37,Phichit,83036,314893,294713,97270,2022-03-05 23:15:00
38,Phitsanulok,116260,595876,563449,200595,2022-03-05 23:15:00
39,Phetchaburi,65846,370981,344375,116102,2022-03-05 23:15:00
40,Phetchabun,139218,605782,566169,212238,2022-03-05 23:15:00
41,Phrae,72136,286042,271415,85283,2022-03-05 23:15:00
42,Phuket,50581,497849,471116,318980,2022-03-05 23:15:00
43,Maha Sarakham,123927,558245,504707,201156,2022-03-05 23:15:00
44,Mukdahan,39729,230476,207257,56870,2022-03-05 23:15:00
45,Mae Hong Son,28062,175564,147956,34091,2022-03-05 23:15:00
46,Yasothon,73216,323353,297086,82868,2022-03-05 23:15:00
47,Yala,40636,357901,296557,48456,2022-03-05 23:15:00
48,Roi Et,171770,741030,679123,157692,2022-03-05 23:15:00
49,Ranong,23811,199462,185615,54641,2022-03-05 23:15:00
50,Rayong,77174,796260,755902,372054,2022-03-05 23:15:00
51,Ratchaburi,94230,539840,529264,195441,2022-03-05 23:15:00
52,Lopburi,87805,432870,414975,181332,2022-03-05 23:15:00
53,Lampang,139864,495482,475512,184592,2022-03-05 23:15:00
54,Lamphun,73258,335920,320607,160915,2022-03-05 23:15:00
55,Loei,88894,422976,392949,89468,2022-03-05 23:15:00
56,Sisaket,189058,845499,768992,216615,2022-03-05 23:15:00
57,Sakon Nakhon,125518,673654,605307,116120,2022-03-05 23:15:00
58,Songkhla,181631,1172375,1078985,357056,2022-03-05 23:15:00
59,Satun,30352,203831,187408,32682,2022-03-05 23:15:00
60,Samut Prakan,152219,1671344,1469330,957403,2022-03-05 23:15:00
61,Samut Songkhram,28446,123441,113913,52052,2022-03-05 23:15:00
62,Samut Sakhon,76072,945531,865782,307945,2022-03-05 23:15:00
63,Sa Kaeo,58527,346363,311152,71461,2022-03-05 23:15:00
64,Saraburi,74489,499470,489373,232736,2022-03-05 23:15:00
65,Sing Buri,35344,134421,128717,53785,2022-03-05 23:15:00
66,Sukhothai,94112,361390,338968,102988,2022-03-05 23:15:00
67,Suphan Buri,108404,508124,481411,156643,2022-03-05 23:15:00
68,Surat Thani,133651,903738,839225,239168,2022-03-05 23:15:00
69,Surin,175679,769850,706685,180539,2022-03-05 23:15:00
70,Nong Khai,58982,312830,286448,61529,2022-03-05 23:15:00
71,Nong Bua Lamphu,59487,281279,256609,43042,2022-03-05 23:15:00
72,Ang Thong,42555,170388,164698,72334,2022-03-05 23:15:00
73,Amnat Charoen,47400,233736,214240,39649,2022-03-05 23:15:00
74,Udon Thani,181960,992711,913370,246315,2022-03-05 23:15:00
75,Uttaradit,76985,299930,281320,100916,2022-03-05 23:15:00
76,Uthai Thani,40254,197873,188166,60400,2022-03-05 23:15:00
77,Ubon Ratchathani,230712,1196911,1101588,267873,2022-03-05 23:15:00
